date,open,high,low,close,volume,adjusted,roc_z,outlier,stock
2025-04-10,135.75,135.789993286133,128.679992675781,132.970001220703,4757100,131.713348388672,-2.03439239786638,1,3M
2025-04-04,134.190002441406,135.309997558594,126.430000305176,126.910003662109,9609100,125.71061706543,-4.88864722909161,1,3M
2025-04-03,142.839996337891,144.490005493164,138.850006103516,139.740005493164,6712300,138.419372558594,-2.85561237393121,1,3M
2025-03-04,150.5,151.039993286133,145.619995117188,145.860000610352,6787400,144.481521606445,-2.59087797225008,1,3M
2024-01-23,84.3311004638672,84.3311004638672,78.6872940063477,80.3511734008789,32544236,76.5477905273438,-5.92382940196119,1,3M
2025-05-28,68.25,68.5,63.6100006103516,64.2300033569336,3501900,63.921688079834,-4.17815336282336,1,A. O. Smith
2025-05-21,68.7300033569336,68.9000015258789,67,67.120002746582,1385600,66.7978134155274,-2.32513117617273,1,A. O. Smith
2025-04-03,64.4899978637695,64.8000030517578,63.0200004577637,63.6599998474121,1649800,63.033016204834,-2.41163017914654,1,A. O. Smith
2025-03-11,69.4599990844727,69.9899978637695,66.4800033569336,67.1100006103516,1966900,66.4490356445313,-2.32547534736832,1,A. O. Smith
2024-10-11,80.3399963378906,83.1999969482422,79.5,80.870002746582,2379100,79.3122100830078,-4.1227445109695,1,A. O. Smith
2024-07-23,80.9199981689453,85.0699996948242,79.8300018310547,80.4700012207031,2721300,78.6243743896484,-6.31511037199102,1,A. O. Smith
2024-04-25,83.9000015258789,83.9100036621094,80.6399993896484,82.8199996948242,2381000,80.609260559082,-3.13983004340945,1,A. O. Smith
2024-01-03,80.870002746582,80.870002746582,78.0899963378906,78.7099990844727,1276800,76.308723449707,-2.16606972063115,1,A. O. Smith
2025-07-17,126.550003051758,126.860000610352,119.769996643066,120.51000213623,27560600,120.51000213623,-6.94459541775506,1,Abbott Laboratories
2025-06-26,137.320007324219,137.539993286133,132.710006713867,133.669998168945,9452900,133.072662353516,-2.16783739970569,1,Abbott Laboratories
2025-04-04,131.229995727539,132.399993896484,124,124.440002441406,10776900,123.312713623047,-4.39031109563759,1,Abbott Laboratories
2025-03-11,137.059997558594,137.059997558594,132.309997558594,132.660003662109,9313500,131.458236694336,-2.73363370562574,1,Abbott Laboratories
2025-02-06,131.800003051758,131.899993896484,128.139999389648,128.220001220703,6469200,127.058464050293,-2.3219438391219,1,Abbott Laboratories
2024-09-18,117.5,117.5,114.519996643066,114.879997253418,5990200,112.713821411133,-2.19695436196896,1,Abbott Laboratories
2024-07-18,102.389999389648,104.150001525879,99.7099990844727,100.069999694824,13078800,98.1830825805664,-3.5266464318406,1,Abbott Laboratories
2024-04-17,107.529998779297,108.720001220703,104.25,105.900001525879,12002900,103.354827880859,-2.42035354816285,1,Abbott Laboratories
2024-03-18,115.349998474121,115.76000213623,112.290000915527,112.440002441406,12991000,109.196098327637,-2.10902609883975,1,Abbott Laboratories
2024-03-15,113.019996643066,115.48999786377,112.26000213623,115.48999786377,22415700,112.158103942871,-2.25751358836786,1,Abbott Laboratories
2024-01-24,110.75,113.349998474121,109.73999786377,110.769996643066,8710800,107.574264526367,-2.26249751560564,1,Abbott Laboratories
2025-10-02,240.889999389648,242.669998168945,234.520004272461,236.559997558594,8107700,236.559997558594,-2.07030264679383,1,AbbVie
2025-05-14,186.520004272461,187.649993896484,176.600006103516,177.440002441406,12212000,175.920562744141,-3.64027570921108,1,AbbVie
2025-05-06,195.5,195.820007324219,185.740005493164,187.149993896484,9392000,185.547409057617,-2.94192391491369,1,AbbVie
2025-04-10,177.75,178,164.970001220703,174.199996948242,13970000,171.126846313477,-2.0293847956358,1,AbbVie
2025-04-08,187.600006103516,188.389999389648,172.320007324219,175.669998168945,12517100,172.570892333984,-3.78199837666428,1,AbbVie
2025-04-04,200,200,186.169998168945,186.960006713867,13505200,183.661727905273,-4.74415911976815,1,AbbVie
2025-03-25,209.220001220703,209.259994506836,199.380004882813,201.339996337891,10089100,197.788040161133,-2.41983462178228,1,AbbVie
2024-11-11,178.570007324219,178.570007324219,172.699996948242,174.429992675781,20760300,169.751998901367,-8.3887318648282,1,AbbVie
